"Codart","Nomart","Pcosto","Pventa","Exiact","Pricon","Segcon","Difer","Status","Sustiti","Observa","Procesado"
"2108-1007012",Valvula escape samara,16.44,31.0,0.0,0.0,0.0,0.0,N,"2108-1007012",,N
"2108-1007032-2",Guia valvula admision samara,3.38,5.41,0.0,0.0,0.0,0.0,N,"2108-1007032-2",,N
"2108-1007033-20",Guia valvula escape samara,1.44,2.31,3.0,0.0,0.0,0.0,N,"2108-1007033-20","",S
"2108-1009070",Empaque carter samara,1.74,2.79,0.0,0.0,0.0,0.0,N,"2108-1009070",,N
"2108-1011010",Bomba aceite samara (fa),46.18,73.89,0.0,0.0,0.0,0.0,N,"2108-1011010",,N
"2108-1101040",Base motor peque�o samara,4.38,7.0,0.0,0.0,0.0,0.0,N,"2108-1101040",,N
"2108-1106010",Bomba gasolina samara (fa),11.7,18.72,0.0,0.0,0.0,0.0,N,"2108-1106010",,N
"2108-1107010",Carburador samara,117.0,187.2,0.0,0.0,0.0,0.0,N,"2108-1107010",,N
"2108-1107046",Diafragma carburador tapa samara,1.46,2.33,0.0,0.0,0.0,0.0,N,"2108-1107046",,N
"2108-1107360",Diafragma carburador samara,1.11,1.78,0.0,0.0,0.0,0.0,N,"2108-1107360",,N
"2108-1108054",Cable acelerador samara (fa),6.05,9.68,0.0,0.0,0.0,0.0,N,"2108-1108054",,N
"2108-1203073-20",Caucho tubo escape samara (fa),0.48,0.77,0.0,0.0,0.0,0.0,N,"2108-1203073-20",,N
"2108-1307010",Bomba agua samara (fa),23.76,45.94,52.0,52.0,0.0,0.0,C,"2108-1307010","",S
"2108-1311014",Deposito agua radiador samara (fa),3.96,6.34,0.0,0.0,0.0,0.0,N,"2108-1311014",,N
"2108-1311065",Tapa deposito agua radiador samara (fa),2.33,4.5,111.0,111.0,0.0,0.0,C,"2108-1311065","",S
"2108-1601085",Plato embrague samara 2115 (fa),35.66,65.59,45.0,45.0,0.0,0.0,C,"2108-1601085","",S
"2108-1601130",Disco embrague samara 2115 (fa),15.9,29.15,73.0,73.0,0.0,0.0,C,"2108-1601130","",S
"2108-1701123",Pi��n 1ra. Samara,20.62,22.0,1.0,0.0,1.0,0.0,C,"2108/1701123","",S
"2108-1701127",Pi�on 2da samara,20.62,22.0,0.0,1.0,1.0,0.0,N,"2108-1701127","",S
"2108-1701131",Pi�on 3ra. samara,20.62,22.0,1.0,1.0,0.0,0.0,C,"2108-1701131","",S
"2108-1701146",Pi�on 4ta. samara,20.62,22.0,0.0,0.0,0.0,0.0,N,"2108-1701146",,N
"2108-1701164-10",Sincronizados samara,10.12,19.58,0.0,0.0,0.0,0.0,N,"2108-1701164-10",,N
"2108-2902712","Espiral dela. samara, lada 2110 / 2115",11.43,16.47,16.0,15.0,16.0,0.0,C,"2108-2902712","",S
"2108-2904020",Brazo rotula samara (fa),26.12,33.0,0.0,0.0,0.0,0.0,N,"2108-2904020",,N
"2108-2904040",Bocin peq. brazo rotula samara (fa),1.18,2.29,80.0,80.0,0.0,0.0,C,"2108-2904040","",S
"2108-2904046",Bocin grande conico samara (fa),1.8,3.48,20.0,20.0,0.0,0.0,C,"2108-2904046","",S
"2108-2904185",Rotula samara (fa),5.51,8.81,0.0,0.0,0.0,0.0,N,"2108-2904185",,N
"2108-2905002",Amortiguador dela. der. samara (fa),40.1,72.16,0.0,0.0,0.0,0.0,N,"2108-2905002",,N
"2108-2905003",Amortiguador dela. izq. samara (fa),40.1,72.16,0.0,0.0,0.0,0.0,N,"2108-2905003",,N
"2108-2915004",Amortiguador post. samara (fa),23.82,42.88,0.0,116.0,0.0,0.0,C,"2108-2915004","",S
"2108-3103012",Manzana rda. dela. samara (fa),16.38,26.21,0.0,0.0,0.0,0.0,N,"2108-3103012",,N
"2108-3103020",Ruliman rueda dela. samara (fa),10.29,18.87,36.0,36.0,0.0,0.0,C,"2108-3103020","",S
"2108-3104020",Ruliman rueda post. samara,10.96,17.54,0.0,0.0,0.0,0.0,N,"2108-3104020",,N
"2108-31701158",Pi�on 5ta. velocidad samara,20.62,22.0,0.0,0.0,0.0,0.0,N,"2108-31701158",,N
"2108-3401224",Guardapolvo caja  direccion samara -2110,4.94,9.54,147.0,147.0,0.0,0.0,C,"2108-3401224","",S
"2108-3403082-10",Caucho soporte caja direc. izq. samara,0.62,0.99,0.0,0.0,0.0,0.0,N,"2108-3403082-10",,N
"2108-3414056",Terminal derecho samara,4.24,6.79,0.0,0.0,0.0,0.0,N,"2108-3414056",,N
"2108-3414057",Terminal izquierdo samara,4.24,6.79,0.0,0.0,0.0,0.0,N,"2108-3414057",,N
"2108-3505010",Bomba freno samara (fa),18.31,29.29,0.0,0.0,0.0,0.0,N,"2108-3505010",,N
"2108-3505102",Deposito liquido freno samara (fa),1.76,2.81,0.0,0.0,0.0,0.0,N,"2108-3505102",,N
"2108-3505110",Tapa deposito liquido freno samara (fa),3.59,5.0,5.0,5.0,0.0,0.0,C,"2108-3505110","",S
"2108-3506060",Manguera freno dela. samara (fa),2.78,4.44,0.0,0.0,0.0,0.0,N,"2108-3506060",,N
"2108-3510010-01","Servofreno samara 2115, niva moderno (fa)",42.9,78.65,114.0,114.0,0.0,0.0,C,"2108-3510010-01","",S
"2108-3706010",Distribuidor samara (fa),32.73,63.28,0.0,0.0,0.0,0.0,N,"2108-3706010",,N
"2108-3708620",Bendix samara,8.39,13.42,0.0,0.0,0.0,0.0,N,"2108-3708620",,N
"2108-3709330","Palanca luces dieccional samara, 2110",5.18,13.78,37.0,37.0,0.0,0.0,C,"2108-3709330","",S
"2108-3710410-01","Trompo retro samara, 2110",1.69,3.28,0.0,0.0,0.0,0.0,N,"2108-3710410-01",,N
"2108-3716010",Faro posterior der. samara,21.25,34.0,0.0,0.0,0.0,0.0,N,"2108-3716010",,N
"2108-3716011",Faro posterior izq. samara,21.25,34.0,0.0,0.0,0.0,0.0,N,"2108-3716011",,N
"2108-3734910",Modulo electronico sanara (fa),12.27,19.63,0.0,0.0,0.0,0.0,N,"2108-3734910",,N
"2108-3747010-02","Relay luces samara, 2110",3.85,7.07,59.0,59.0,0.0,0.0,C,"2108-3747010-02","",S
"2108-6100045-20",Jgo. cilindro pta. samara,16.29,22.0,0.0,0.0,0.0,0.0,N,"2108-6100045-20",,N
"2108-6104064-01","Manija alza vidrio samara, 2110",0.86,1.65,31.0,31.0,0.0,0.0,C,"2108-6104064-01","",S
"2108-6814232",Manija asiento dela. samara (fa),0.86,1.37,0.0,0.0,0.0,0.0,N,"2108-6814232",,N
"210831008081-10",Empaque multiple samara (fa),1.95,3.12,0.0,0.0,0.0,0.0,N,"210831008081-10",,N
"210831130010-10",Sensor mak niva m. (fa),115.72,185.15,0.0,0.0,0.0,0.0,N,"210831130010-10",,N
"2109-1602210-10",Cable embrague samara (fa),9.34,14.95,0.0,0.0,0.0,0.0,N,"2109-1602210-10",,N
"2110-1001242",Base motor lada 2110,14.72,28.45,51.0,51.0,0.0,0.0,C,"2110-1001242","",S
"2110-1001286",Base c/cambio lada 2111,10.27,19.87,59.0,59.0,0.0,0.0,C,"2110-1001286","",S
"2110-1005058-02",Polea cigue�al lada 2110,32.99,60.53,0.0,0.0,0.0,0.0,N,"2110-+1005058-0",,N
"2110-1108054","Cable acelerador lada 2110, samara",3.21,6.21,6.0,6.0,0.0,0.0,C,"2110-108054","",S
"2110-1311014-02",Deposito agua radiador lada 2110,4.88,8.94,7.0,7.0,0.0,0.0,C,"2110-1311014-02","",S
"2110-1601130-10",Disco embrague 2110  (fa),27.78,43.52,0.0,0.0,0.0,0.0,N,"2110-1601130-10",,N
"2110-1601180-01",Rulim�n embrague lada 2110,9.38,17.19,153.0,153.0,0.0,0.0,C,"2110-1601180-01","",S
"2110-16901085",Plato embrague 2110  (fa),41.01,68.0,0.0,0.0,0.0,0.0,N,"2110-1601085",,N
"2110-1703190",Base palanca cambio 2110,9.82,18.01,0.0,0.0,0.0,0.0,N,"2110-1703190",,N
"2110-2904192-03",Rotula superior 2110 (fa),6.18,11.54,133.0,127.0,127.0,0.0,N,"2110-2904192-03","",S
"2110-2905002","Amortiguador dela.der. lada 2110,samara f.a.",50.14,96.95,134.0,133.0,133.0,0.0,N,"2110-2905002","",S
"2110-2905003","Amortiguador dela. izq. lada 2110, samara f.a.",50.14,96.95,137.0,138.0,138.0,0.0,N,"2110-2905003","",S
"2110-2915004","Amortiguador post. lada 2110, samara f. a.",32.92,63.66,116.0,116.0,0.0,0.0,C,"2110-2915004","",S
"2110-3510010",Servofreno 2110 (fa),42.0,81.2,0.0,0.0,0.0,0.0,N,"2110-3510010",,N
"2110-3701720",Banda alternador lada 2110,7.5,14.5,90.0,90.0,0.0,0.0,C,"2110-3701720","",S
"2110-3704005-20",Swich encendido lada 2110,30.67,53.38,32.0,32.0,0.0,0.0,C,"2110-3704005-20","",S
"2110-3708010",Motor arranque 2110 (fa),145.38,215.65,0.0,0.0,0.0,0.0,N,"2110-3708010",,N
"2110-3711010",Faro dela. der. 2110,70.89,137.05,19.0,19.0,0.0,0.0,C,"2110-3711010","",S
"2110-3711011",Faro dela. izq. 2110,70.89,137.05,20.0,20.0,0.0,0.0,C,"2110-3711011","",S
"2110-3716010",Guia direccional post. der. lada 2110,28.52,45.64,0.0,0.0,0.0,0.0,N,"2110-3716010",,N
"2110-3716011",Guia direccional post. izq. 2110,28.52,45.64,0.0,0.0,0.0,0.0,N,"2110-3716011",,N
"2110-3828010-10",Trompo electroventilador 2110 (fa),6.99,10.41,2.0,1.0,1.0,0.0,N,"2110-3828010-10","",S
"2110-3843010-13",Sensor velocimetro 2110,6.84,12.44,60.0,60.0,0.0,0.0,C,"2110-3843010-13","",S
"2111-3706040",Sensor posicion arbol levas 2110,16.88,31.5,28.0,28.0,0.0,0.0,C,"2111-3706040","",S
"2112-3843010-30",Sensor velocimetro 2112,7.43,13.61,68.0,67.0,67.0,0.0,N,"2112-3843010-30","",S
"21121109080-02","Filtro aire niva m., 2110 (fa)",4.04,7.4,74.0,74.0,0.0,0.0,C,"21121109080-02","",S
"21121117010-01",Filtro gasolina niva m. (fa),14.62,27.3,16.0,16.0,0.0,0.0,C,"21121117010-01","",S
"21121148200",Sensor tps /aceleracion (mariposa) niva m.,17.16,31.46,4.0,4.0,0.0,0.0,C,"21121148200","",S
"21121148300-02",Sensor acelera. relantin autom. niva m.,26.49,42.38,0.0,0.0,0.0,0.0,N,"21121148300-02",,N
"21123501070",Disco freno lada 2112,27.91,44.65,2.0,2.0,0.0,0.0,C,"21123501070","",S
"21123701315",Placa diodera niva m. (fa),24.1,38.56,0.0,0.0,0.0,0.0,N,"21123701315",,N
"21123705010-02",Bobina encendido multipunto niva m. (fa),85.34,155.06,0.0,0.0,0.0,0.0,N,"21123705010-02",,N
"21123850010-20",Sensor oxigeno niva m. (fa),65.71,105.13,0.0,0.0,0.0,0.0,N,"21123850010-20",,N
"21123851010",Sensor temperatura niva m. (fa),5.93,10.86,65.0,65.0,0.0,0.0,C,"21123851010","",S
"21123851010-05",Sensor temperatura,0.0,0.0,0.0,0.0,0.0,0.0,N,"21123851010-05",,N
"212031148300",Sensor acelera. relantin niva m. (fa),28.12,54.38,8.0,8.0,0.0,0.0,C,"212031148300","",S
"2121-1001020",Base motor niva (fa),4.02,7.77,0.0,0.0,0.0,0.0,N,"2121-1001020",,N
"2121-1001045-01",Base c/c niva (fa),5.24,8.39,2.0,2.0,0.0,0.0,C,"2121-1001045-01","",S
"2121-1001100-20",Travesa�o 5 velocidades niva (fa),12.39,13.5,24.0,24.0,0.0,0.0,C,"2121-1001100-20","",S
"2121-1009050",Varilla medir aceite niva,0.55,0.88,0.0,0.0,0.0,0.0,N,"2121-1009050",,N
"2121-1011010",Bomba aceite niva (fa),26.85,50.12,0.0,0.0,0.0,0.0,N,"2121-1011010",,N
"2121-1303010",Manguera de a. niva,2.42,3.87,0.0,0.0,0.0,0.0,N,"2121-1303010",,N
"2121-1303025",Manguera de agua niva,2.56,4.09,0.0,0.0,0.0,0.0,N,"2121-1303025",,N
"2121-1303090",Manguera agua niva,1.66,2.65,0.0,0.0,0.0,0.0,N,"2121-1303090",,N
"2121-1308008",Ventilador 6 aspas negro,3.09,4.8,0.0,0.0,0.0,0.0,N,"2121-1308008",,N
"2121-1602048",Caucho pedal niva,0.31,0.5,0.0,0.0,0.0,0.0,N,"2121-1602048",,N
"2121-1602610",Cilindro principal embrague niva (fa),18.38,34.3,21.0,21.0,0.0,0.0,C,"2121-1602610","",S
"2121-1701080",Pi�on reversa niva (fa),5.88,9.41,0.0,0.0,0.0,0.0,N,"2121-1701080",,N
"2121-1801010-02",Base caja transfer. niva (fa),14.24,22.78,0.0,0.0,0.0,0.0,N,"2121-1801010-02",,N
"2121-1802236",Base palanca cambio niva (fa),7.04,11.26,0.0,0.0,0.0,0.0,N,"2121-1802236",,N
"2121-2215030-01",Guardapolvo punta eje niva (fa),1.82,3.33,279.0,278.0,279.0,0.0,C,"2121-2215030-01","",S
"2121-2215038-01",Tapa protectora niva,0.97,1.55,0.0,0.0,0.0,0.0,N,"2121-2215038-01",,N
"2121-2215054",Punta interna der. niva (fa),81.16,82.8,3.0,3.0,0.0,0.0,C,"2121-2215054","",S
"2121-2215055",Punta interna izq. niva (fa),73.36,73.8,0.0,0.0,0.0,0.0,N,"2121-2215055",,N
"2121-2215068-01",Guardapolvo interno caja niva (fa),2.16,3.94,0.0,0.0,0.0,0.0,N,"2121-2215068-01",,N
"2121-2301015",Empaque tapa diferencial niva,0.12,0.2,0.0,0.0,0.0,0.0,N,"2121-2301015",,N
"2121-2301070",Empaque tapa diferencial niva,0.28,0.45,0.0,0.0,0.0,0.0,N,"2121-2301070",,N
"2121-2403069",Eje post. niva (fa),94.5,182.7,6.0,6.0,0.0,0.0,C,"2121-2403069","",S
"2121-2403080",Ruliman eje post. niva (fa),8.01,14.69,0.0,0.0,0.0,0.0,N,"2121-2403080",,N
"2121-2803052",Caucho parachoque dela. niva (fa),5.16,7.84,0.0,0.0,0.0,0.0,N,"2121-2803052",,N
"2121-2803096",Base caucho parachoque dela. niva (fa),3.22,4.64,6.0,6.0,0.0,0.0,C,"2121-2803096","",S
"2121-2803152-10",Cacho lateral der. niva (fa),3.91,5.0,0.0,0.0,0.0,0.0,N,"2121-2803152-10",,N
"2121-2803153-10",Cacho lateral izq. niva (fa),0.0,5.0,0.0,0.0,0.0,0.0,N,"2121-2803153-10",,N
"2121-2804096",Base caucho parachoque post. niva (fa),3.22,4.64,6.0,6.0,0.0,0.0,C,"2121-2804096","",S
"2121-2804152-10",Cacho post. der. niva (fa),4.58,6.0,0.0,0.0,0.0,0.0,N,"2121-2804152-10",,N
"2121-2804153-10",Cacho post. izq. niva (fa),4.58,6.0,0.0,0.0,0.0,0.0,N,"2121-2804153-10",,N
"2121-2902712-0",Espiral delantero lada 2110,13.66,21.85,0.0,0.0,0.0,0.0,N,"2101-2902712",,N
"2121-2902724",Asiento base caucho amortiguador niva m. (f.a.),1.12,2.18,20.0,0.0,20.0,0.0,C,"2121-2902724","",S
"2121-2904020",Mesa inferior der. niva,49.87,79.79,0.0,0.0,0.0,0.0,N,"2121-2904020",,N
"2121-2904032",Perno mesa inferior niva (fa),7.12,13.78,46.0,46.0,0.0,0.0,C,"2121-2904032","",S
"2121-2904040",Bocin plato inferior niva (fa),2.46,4.76,66.0,66.0,0.0,0.0,C,"2121-2904040","",S
"2121-2904101",Mesa suspensi�n sup. izq. niva (fa),22.81,36.5,0.0,0.0,0.0,0.0,N,"2121-2904101",,N
"2121-2904112",Eje mesa superior niva (fa),8.27,13.23,2.0,2.0,0.0,0.0,C,"2121-2904112","",S
"2121-2904248",Tope suspencion niva,0.77,1.24,0.0,0.0,0.0,0.0,N,"2121-2904248",,N
"2121-2906010",Barra estabilizadora niva,16.61,26.57,0.0,0.0,0.0,0.0,N,"2121-2906010",,N
"2121-3103020-1",Ruliman rueda delantera niva (fa),8.57,13.71,0.0,0.0,0.0,0.0,N,"2121-3103020-1",,N
"2121-3103038",Reten rueda dela. niva (fa),0.78,1.43,0.0,0.0,0.0,0.0,N,"2121-3103038",,N
"2121-3103065",Tapa cubo niva,2.17,3.48,0.0,0.0,0.0,0.0,N,"2121-3103065",,N
"2121-34114084",Brazo mando direccion niva,4.9,7.84,0.0,0.0,0.0,0.0,N,"2121-34114084",,N
"2121-3414010",Barra intermedia direccion niva,8.12,12.99,0.0,0.0,0.0,0.0,N,"2121-3414010",,N
"2121-3414138-03",Terminal direccion niva (fa),6.07,11.14,84.0,85.0,84.0,0.0,C,"2121-3414116","",S
"2121-3501070",Disco freno niva (fa),24.52,47.42,1.0,1.0,0.0,0.0,C,"2121-3501070","",S
"2121-3501206",Kit reparacion mordaza niva (fa),1.66,3.22,12.0,12.0,0.0,0.0,C,"2121-3501206","",S
"2121-3506060-10",Manguera freno dela. der. niva,3.94,7.32,23.0,20.0,20.0,0.0,N,"2121-3506060-10","",S
"2121-3506061-10",Manguera freno dela.izq. niva (fa),4.19,7.81,23.0,26.0,26.0,0.0,N,"2121-3506061-10","",S
"2121-3508180","Cable freno de mano niva, 2110 (fa)",7.29,14.09,0.0,3.0,3.0,0.0,N,"2121-3508180","",S
"2121-3708620",Bendix niva,8.17,13.07,2.0,2.0,0.0,0.0,C,"2121-3708620","",S
"2121-3708805",Automatico arranque niva,13.05,20.88,0.0,0.0,0.0,0.0,N,"2121-3708805",,N
"2121-3710180",Trompo retro moderno niva (fa),2.41,3.85,0.0,0.0,0.0,0.0,N,"2121-3710180",,N
"2121-3819010",Cable velocimetro niva (fa),3.89,6.23,0.0,0.0,0.0,0.0,N,"2121-3819010",,N
"2121-3827010",Boya tanque gasolina niva,6.93,11.09,0.0,0.0,0.0,0.0,N,"2121-3827010",,N
"2121-5205500",Soporte limpia parabrizas niva,12.5,20.0,0.0,0.0,0.0,0.0,N,"2121-5205500",,N
"2121-5205600",Varilla larga niva,1.06,1.7,0.0,0.0,0.0,0.0,N,"2121-5205600",,N
"2121-5208008",Bomba lavaparabrisas niva (fa),7.09,11.35,0.0,0.0,0.0,0.0,N,"2121-5208008",,N
"2121-5208009-10",Motor limpia parabrizas niva,5.62,8.99,0.0,0.0,0.0,0.0,N,"2121-5208009-10",,N
"2121-5623580",Amortiguador puerta trasera niva,12.5,20.0,0.0,0.0,0.0,0.0,N,"2121-5623580",,N
"2121-6104020",Mecanismo elevar vidrio dela. niva (fa),6.52,10.43,0.0,0.0,0.0,0.0,N,"2121-6104020",,N
"2121-6308010",Brazo hidraulico pta. post. niva (fa),10.72,17.150000000000002,0.0,0.0,0.0,0.0,N,"2121-6308010",,N
"2121-6308015",Amortiguador cajuela niva (fa),8.62,15.81,0.0,0.0,0.0,0.0,N,"2121-6308015",,N
"2121-8201008",Espejo interior niva,7.49,11.98,0.0,0.0,0.0,0.0,N,"2121-8201008",,N
"2121-8401014",Mascarilla niva monopunto (fa),8.49,13.59,0.0,0.0,0.0,0.0,N,"2121-8401014",,N
"212112202025",Cruceta cardan niva m. (fa),15.51,24.810000000000002,0.0,0.0,0.0,0.0,N,"212112202025",,N
"212131003020-10",Empaque cabezote 1700 niva m.,7.05,13.15,53.0,53.0,0.0,0.0,C,"212131003020-10","",S
"212131004014-3",Juego piston 82.4 niva moderno,42.25,67.6,0.0,0.0,0.0,0.0,N,"212131004014-3",,N
"212131004015",Jgo. piston std. 1700 niva m.,42.25,67.6,0.0,0.0,0.0,0.0,N,"212131004015",,N
"212131004015-31",Jgo. piston 1700 +10 niva m.,92.06,118.0,0.0,0.0,0.0,0.0,N,"212131004015-31",,N
"212131006020",Pi�on distribucion grande monopunto niva m.,8.86,14.17,0.0,0.0,0.0,0.0,N,"212131006020",,N
"212131006100",Damper monopunto niva m. (fa),1.88,3.44,31.0,31.0,0.0,0.0,C,"212131006100","",S
"212131008081-10",Empaque multiple niva m. (fa),2.92,5.36,187.0,186.0,187.0,0.0,C,"212131008081-10","",S
"212131011228",Pi�on bomba aceite niva m. (fa),3.97,7.29,0.0,0.0,0.0,0.0,N,"212131011228",,N
"212131203073",Caucho tubo escape niva m.,1.24,2.32,0.0,0.0,0.0,0.0,N,"212131203073",,N
"212131301012",Radiador monopunto niva m.,86.5,130.82,0.0,0.0,0.0,0.0,N,"212131301012",,N
"212131303025",Manguera radiador entrada niva m. (fa),6.48,11.88,0.0,0.0,0.0,0.0,N,"212131303025",,N
"212131308008",Ventilador niva m. (fa),4.65,7.44,0.0,0.0,0.0,0.0,N,"212131308008",,N
"212131601130",Disco embrague niva m. (fa),15.93,25.490000000000002,0.0,0.0,0.0,0.0,N,"212131601130",,N
"212131804098",Guardapolvo palanca peq. niva m. (fa),0.96,1.54,0.0,0.0,0.0,0.0,N,"212131804098",,N
"212131804124",Guardapolvo palanca peq. niva m. (fa),0.71,1.1300000000000001,0.0,0.0,0.0,0.0,N,"212131804124",,N
"212132202010",Brida cardan completa niva m. (fa),116.25,224.75,16.0,16.0,0.0,0.0,C,"212132202010","",S
"212132202016",Cuerpo articul. brida niva m. (fa),53.5,99.0,13.0,13.0,0.0,0.0,C,"212132202016","",S
"212132202024",Brida metalica pata gallo niva m.,30.82,59.4,7.0,7.0,0.0,0.0,C,"212132202024","",S
"212132202068",Guardapolvo cuerpo art. brida niva m. (fa),1.95,3.63,67.0,67.0,0.0,0.0,C,"212132202068","",S
"212132215012",Junta homocinetica niva m. (fa),46.72,57.5,3.0,5.0,5.0,0.0,N,"212132215012","",S
"212133401090",Brazo mando cajetin niva m.,14.27,22.84,0.0,0.0,0.0,0.0,N,"212133401090",,N
"212133402012",Volante conducir niva m.,60.43,96.69,0.0,0.0,0.0,0.0,N,"212133402012",,N
"212133505009",Cilindro maestro niva moderno (fa),25.05,48.43,0.0,0.0,0.0,0.0,N,"212133505009",,N
"212133710180",Trompo de bloqueo diferencial niva mod.,2.91,5.43,25.0,25.0,0.0,0.0,C,"212133710180","",S
"212133711010",Faro dela. completo niva m. (fa),24.15,46.69,0.0,0.0,0.0,0.0,N,"212133711010",,N
"212133716010",Faro post. der. niva m. (fa),25.06,48.46,0.0,0.0,0.0,0.0,N,"212133716010",,N
"212133716011",Faro post. izq. niva m. (fa),25.06,48.46,0.0,0.0,0.0,0.0,N,"212133716011",,N
"212133718010",Corrector hidraulico faros niva m. (fa),10.24,14.8,30.0,30.0,0.0,0.0,C,"212133718010","",S
"212133801010",Panel principal niva m.,89.79,143.67000000000002,0.0,0.0,0.0,0.0,N,"212133801010",,N
"212133819010",Cable velocimetro niva m. (fa),4.36,6.98,0.0,0.0,0.0,0.0,N,"212133819010",,N
"212135208102-10",Bomba lavaparabrisas monopunto niva m.,7.74,8.26,0.0,3.0,3.0,0.0,N,"212135208102-10","",S
"212135325212-10",Panel de radio niva m (fa),10.26,16.42,0.0,0.0,0.0,0.0,N,"212135325212-10",,N
"212136104021",Mecanismo elevar vidrio izq.niva mod. (fa),7.82,12.51,0.0,0.0,0.0,0.0,N,"212136104021",,N
"212138212216",Cubrejunta niva,0.0,0.0,0.0,0.0,0.0,0.0,N,"212138212216",,N
"212138402012",Capot niva m. (fa),276.08,398.66,0.0,0.0,0.0,0.0,N,"212138402012",,N
"212141006040-03",Cadena distribucion multipunto niva m. (fa),13.88,25.44,0.0,0.0,0.0,0.0,N,"212141006040-03",,N
"212141006060-01",Templador cadena niva m. (fa),50.0,80.0,0.0,0.0,0.0,0.0,N,"212141006060-01",,N
"212141006090-01",Zapata tenzora multipunto niva m.,4.41,8.53,39.0,39.0,0.0,0.0,C,"212141006090-01","",S
"212141006100-01",Damper multipunto niva m.,7.12,13.3,12.0,12.0,0.0,0.0,C,"212141006100-01","",S
"212141007180",Tubo distribuidor aceite motor niva m. (fa),46.95,90.77,0.0,0.0,0.0,0.0,N,"212141007180",,N
"212141108054",Cable acelerador niva m. (fa),9.94,19.06,3.0,0.0,0.0,0.0,N,"212141108054",,N
"212141139009",Bomba gasolina niva m.,179.38,287.0,0.0,0.0,0.0,0.0,N,"212141139009",,N
"212141301012-20",Radiador multipunto niva m.,72.68,155.71,0.0,0.0,0.0,0.0,N,"212141301012-20",,N
"212141311014",Deposito agua radiador multip. niva m.,4.05,7.83,0.0,0.0,0.0,0.0,N,"212141311014",,N
"212143701010",Alternador niva m. (fa),159.75,308.85,0.0,0.0,0.0,0.0,N,"212143701010",,N
"212143707080",Cable de bujias niva m.,19.58,31.330000000000002,0.0,0.0,0.0,0.0,N,"212143707080",,N
"2123-1005030",Pi�on cigue�al peq. multip. niva m. (fa),33.97,65.69,0.0,0.0,0.0,0.0,N,"2123-1005030",,N
"2123-1006020",Pi�on cigue�al grande multip. niva m. (fa),24.38,45.5,18.0,28.0,18.0,0.0,C,"2123-1006020","",S
"2123-1008055-01",Empaque multiple caracol multipunto niva m.,1.21,1.94,0.0,0.0,0.0,0.0,N,"2123-1008055-01",,N
"2123-1008081-01",Empaque multiple multipunto niva m.,3.97,7.42,94.0,94.0,0.0,0.0,C,"2123-1008081-01","",S
"2123-1011220",Pi�on cigue�al med. multip. niva m. (fa),18.38,33.69,8.0,8.0,0.0,0.0,C,"2123-1011220","",S
"2123-1703094",Arandela palanca cambio niva m.,0.41,0.66,0.0,0.0,0.0,0.0,N,"2123-1703094",,N
"2303-3808800M",Trompo electroventilador 82-68/meg,3.5,5.6,0.0,0.0,0.0,0.0,N,"2303-3808800M",,N
"3.7545RS",Rotor distribuidor volskwagen brasilia,0.78,1.25,206.0,204.0,204.0,0.0,N,"3.7545RS","",S
A-1,Axial fiat uno italia,5.85,9.93,35.0,35.0,0.0,0.0,C,"0600410","",S
APE-001,Amortiguador izumi dela.forza I der.,17.64,33.9,45.0,46.0,46.0,0.0,N,A1060,"",S
APE-002,Amortiguador izumi dela.forza I izq.,18.29,33.9,8.0,5.0,5.0,0.0,N,A1061,da�ados 2,S
APE-003,Amortiguador izumi forza II swift dela. der.,18.4,33.9,2.0,0.0,0.0,0.0,N,A2158,da�ados 1,S
APE-004,Amortiguador izumi forza II swift dela. izq.,18.39,33.9,0.0,0.0,0.0,0.0,N,A2159,,N
APE-005,Amortiguador pecord  san remo post.,9.38,15.0,0.0,0.0,0.0,0.0,N,"2284",,N
APE-006,Amortiguador pecord  san remo dela.,9.38,15.0,0.0,0.0,0.0,0.0,N,"2285",,N
APE-007,Amortiguador izumi skoda dela.,17.99,35.8,109.0,108.0,108.0,0.0,N,"115 495 001",da�ado 1,S
APE-008,Amortiguador pecord skoda post.,21.88,35.8,0.0,0.0,0.0,0.0,N,"115 395 001",,N
APE-009,Amortiguador izumi verna dela. izq.,16.92,35.8,1.0,1.0,0.0,0.0,C,"54650-25000","",S
APE-010,Amortiguador izumi verna dela. der.,16.93,35.8,2.0,3.0,3.0,0.0,N,"54660-25000","",S
APE-011,Amortiguador izumi verna post. izq.,17.29,35.8,9.0,9.0,46.0,0.0,N,"55350-25000","",S
APE-012,Amortiguador izumi verna post. der.,16.79,35.8,2.0,0.0,0.0,0.0,N,"55360-25000",,N
APE-013,Amortiguador pecord del. izq. accent 95-97,20.0,32.8,4.0,4.0,0.0,0.0,C,"54661-22952","",S
APE-014,Amortiguador pecord del. accent der. 95-97,20.0,32.8,9.0,9.0,0.0,0.0,C,"54651-22902","",S
APE-015,Amortiguador pecord post. izq. accent 98 verna,20.0,32.8,0.0,0.0,0.0,0.0,N,"55351-22951",,N
APE-016,Amortiguador pecord post. der. accent 98 verna,20.0,32.8,5.0,5.0,0.0,0.0,C,"55361-22951","",S
APE-017,Amortiguador izumi post. matiz spark ,8.47,16.6,0.0,0.0,0.0,0.0,N,"96316781",,N
APE-018,Amortiguador izumi matiz dela. der.,14.35,28.0,68.0,7.0,66.0,0.0,N,"96316746",da�ado 1,S
